Year,Worldwide,India,Australia,Brazil,Malaysia,Mexico,Indonesia,Bangladesh,Venezuela,Nigeria,Mozambique,Cuba,Myanmar,PNG,Rest,% of All Papers
1903,1,,,,,,,,,,,,,,1,0
1917,1,,,,,,,,,,,,,,1,0
1919,1,,,,,,,,,,,,,,1,0
1933,1,,,,,,,,,,,,,,1,0
1940,1,,,,,,,,,,,,,,1,0
1941,1,,,,,,,,,,,,,,1,0
1949,1,,,,,,,,,,,,,,1,0
1950,1,,,,,,,,,,,,,,1,0
1955,1,,,,,,,,,,,,,,1,0
1956,1,,,,,,,,,,,,,,1,0
1959,2,,,,,,,,,,,,,,2,0
1962,4,,,,,,,,,,,,,,4,0
1963,3,,,,,,,,,,,,,,3,0
1964,5,,,,,,,,,,,,,,5,0
1965,1,,,,,,,,,,,,,,1,0
1966,2,,,,,,,,,,,,,,2,0
1967,5,,,,,,,,,,,,,,5,0
1968,4,,,,,,,,,,,,,,4,0
1969,9,,,,,,,,,,,,,,9,0
1970,3,,,,,,,,,,,,,,3,0
1971,5,,,,,,,,,,,,,,5,0
1972,12,,1,,,,,,,,,,,,11,8.333333333
1973,13,1,,,1,,,,,,,,,,11,15.38461538
1974,8,1,,,1,,,,,,,,,,6,25
1975,9,,1,,,,,,1,,,,,,7,22.22222222
1976,7,1,,,1,,,,,,,1,,,4,42.85714286
1977,14,1,3,,,,1,,,,,,,,9,35.71428571
1978,25,1,3,,1,,,,1,,,,,,19,24
1979,19,,2,,1,,,,1,1,,,,,14,26.31578947
1980,34,4,8,2,,,,,2,1,,,,,17,50
1981,33,2,8,,1,,,,,,,,,,22,33.33333333
1982,25,2,6,,1,,,,,,,,,,16,36
1983,29,1,5,,1,,,,,,,,,,22,24.13793103
1984,39,4,13,,1,,1,,3,1,,,,,16,58.97435897
1985,44,2,19,1,,,,,,1,,,,1,20,54.54545455
1986,62,7,15,2,1,,,,,1,,1,,,35,43.5483871
1987,44,5,15,,,2,1,,,,,,,,21,52.27272727
1988,47,8,16,1,,1,,,1,,,,,,20,57.44680851
1989,64,6,9,,1,4,1,,7,1,,,,,35,45.3125
1990,81,2,22,4,3,1,1,,2,1,,,,,45,44.44444444
1991,57,4,9,3,2,1,1,,1,1,,,,,35,38.59649123
1992,77,7,14,2,2,2,,,1,1,1,1,,,46,40.25974026
1993,55,2,10,7,4,1,,,,1,,,,,30,45.45454545
1994,82,7,6,3,5,,4,,,2,,,,,55,32.92682927
1995,113,8,18,2,6,7,,,2,4,,,,,66,41.59292035
1996,95,10,21,2,3,3,,,,2,,,,,54,43.15789474
1997,104,13,20,1,3,,,,1,1,,,,,65,37.5
1998,137,19,25,6,3,3,,,3,,,,,,78,43.06569343
1999,117,9,20,5,,5,1,,4,,1,,,,72,38.46153846
2000,121,17,24,4,,5,1,1,4,1,1,,,,63,47.9338843
2001,124,11,13,5,1,7,,1,2,,2,1,,,81,34.67741935
2002,191,25,23,12,3,5,1,2,3,5,1,,,,111,41.88481675
2003,160,19,21,19,3,2,,,2,,,,,,94,41.25
2004,175,23,20,13,4,8,1,2,2,,2,,,,100,42.85714286
2005,174,21,31,11,2,4,1,,3,2,1,,,,98,43.67816092
2006,222,34,19,32,3,10,3,1,4,2,,3,,1,110,50.45045045
2007,267,23,25,31,6,9,3,4,4,4,,1,,,157,41.19850187
2008,319,42,19,35,10,15,3,1,,3,1,1,,,189,40.7523511
2009,296,40,15,37,9,6,5,7,2,6,6,,,,163,44.93243243
2010,340,45,18,64,13,8,2,4,4,3,1,,,,178,47.64705882
2011,358,49,22,41,28,22,4,7,2,5,,,1,,177,50.55865922
2012,427,80,28,54,23,22,8,6,5,4,,2,1,,194,54.56674473
2013,425,58,36,70,18,12,8,6,2,4,,,1,,210,50.58823529
2014,490,80,43,50,24,21,11,8,4,2,1,1,1,,244,50.20408163
2015,519,82,48,53,33,17,15,11,1,2,2,,,,255,50.86705202
2016,565,80,68,63,25,18,27,11,4,3,3,2,2,,259,54.15929204
2017,621,86,61,63,33,20,40,15,3,2,,2,2,,294,52.65700483
2018,711,81,62,78,36,32,31,16,3,3,1,5,1,,362,49.08579466
2019,731,89,72,61,35,26,37,17,2,7,2,2,3,,378,48.29001368
2020,774,100,74,69,46,29,41,24,1,6,2,3,2,,377,51.29198966
